utiliteittype_str,bouwjaar_str,EnergieIndex,EnergieLabel
0,0,2.8,G
0,1,2.25,E
0,2,1.6,C
0,3,1.3,B
0,4,1.3,B
0,5,1.95,D
1,0,2.8,G
1,1,2.25,E
1,2,1.6,C
1,3,1.3,B
1,4,1.3,B
1,5,1.95,D
2,0,2.8,G
2,1,2.25,E
2,2,1.6,C
2,3,1.3,B
2,4,1.3,B
2,5,1.95,D
3,0,2.8,G
3,1,2.25,E
3,2,1.6,C
3,3,1.3,B
3,4,1.3,B
3,5,1.95,D
4,0,2.8,G
4,1,2.25,E
4,2,1.6,C
4,3,1.3,B
4,4,1.3,B
4,5,1.95,D
5,0,2.8,G
5,1,2.25,E
5,2,1.6,C
5,3,1.3,B
5,4,1.3,B
5,5,1.95,D
6,0,2.8,G
6,1,2.25,E
6,2,1.6,C
6,3,1.3,B
6,4,1.3,B
6,5,1.95,D
7,0,2.8,G
7,1,2.25,E
7,2,1.6,C
7,3,1.3,B
7,4,1.3,B
7,5,1.95,D
8,0,2.8,G
8,1,2.25,E
8,2,1.6,C
8,3,1.3,B
8,4,1.3,B
8,5,1.95,D
9,0,2.8,G
9,1,2.25,E
9,2,1.6,C
9,3,1.3,B
9,4,1.3,B
9,5,1.95,D