neighbourhood_code,neighbourhood_name
BU18920104,Moerkapelle-Oost
BU18920105,Bedrijventerrein Moerkapelle
BU18920106,Moerkapelle kassengebied
BU18920107,Jonge Veenen
BU18920191,Verspreide bebouwing Moerkapelle
BU18920201,Kern Zevenhuizen
BU18920202,Swanla
BU18920203,Zevenhuizen Bloemenbuurt
BU18920204,Bedrijventerrein Zevenhuizen
BU18920205,Zevenhuizen-West 1
BU18920206,Zevenhuizen-West 2
BU18920207,Recreatiepark De Korenmolen
BU18920208,Recreatiepark De Bonk
BU18920209,Oud Verlaat
BU18920211,Zevenhuizen-Zuid
BU18920291,Verspreide bebouwing Tweemanspolder
BU18920292,Verspreide bebouwing Zuidplaspolder Zevenhuizen
BU18920293,Verspreide bebouwing Eendragtspolder
BU04020506,Egelshoek
BU16960300,Oud-Loosdrecht
BU04847001,Nesse
BU16960400,Nieuw-Loosdrechtsedijk
BU04847002,Rijneveld-Noord
BU16960401,Muijeveld
BU04847003,Rijneveld-Zuid
BU19040801,Polder Aetsveld
BU16960402,Boomhoek
BU04847004,Laag Boskoop
BU19040802,Polder Garsten Noord
BU04847005,Draaistok
BU19040803,Kanaalzone sector Nigtevecht
BU04847006,Biezen-West
BU19040804,Nigtevecht Dorp
BU04847007,Biezen-Oost
BU19040805,Nigtevecht Garsten
BU04847008,Zonnedauw
BU04847009,Snijdelwijk
BU04847010,Vogelbuurt
BU04020905,Landelijk Gebied 95
BU04847011,Voorofschebuurt
BU04847012,Appelbuurt
BU04847013,Botanicusbuurt
BU04847014,Zuidwijk
BU04847015,Spoelwijk
BU00803601,Camminghaburen-Noord
BU00803701,Grote Wielen
BU16213344,Kruisweg
BU18920101,Kern Moerkapelle
BU18920102,Wilde Veenen
BU18920103,Moerkapelle-West
BU00580000,Dokkum binnen de Bolwerken
BU00580001,Dokkum Noord
BU00580002,Dokkum Fonteinslanden
BU00580003,Dokkum Fugellan
BU00580004,Dokkum Betterwird
BU00580005,Dokkum Hoedemakerspolder
BU00580006,Dokkum De Woudhorne
BU00580007,De Trije Terpen
BU00580008,Dokkum Weeshuislanden
BU00580009,Dokkum Jantjeszeepolder
BU00580010,Dokkum Kooilanden
BU00580011,Dokkum Hogedijken
BU00580100,Metslawier
BU00580101,Jouswier
BU00580102,Niawier
BU00580103,Wetsens
BU00580104,Aalsum
BU00580105,Oostrum
BU00580107,Verspreide huizen Metslawier
BU00580108,Verspreide huizen Niawier
BU00580109,Verspreide huizen Oostrum
BU00580200,Ee
BU00580201,Engwierum
BU00580202,Dokkumer Nieuwe Zijlen
BU00580208,Verspreide huizen Ee
BU00580209,Verspreide huizen Engwierum
BU00580300,Anjum
BU00580301,Lioessens
BU00580302,Morra
BU00580303,Oostmahorn
BU00580307,Verspreide huizen Anjum
BU00580308,Verspreide huizen Lioessens
BU00580309,Verspreide huizen Morra
BU00580400,Oosternijkerk
BU00580401,Paesens
BU00580408,Verspreide huizen Oosternijkerk
BU00580409,Verspreide huizen Paesens
BU00580500,Ternaard
BU00580501,Wierum
BU00580502,Nes
BU00580503,Moddergat
BU00580506,Verspreide huizen Ternaard
BU00580507,Verspreide huizen Wierum
BU00580508,Verspreide huizen Nes
BU00580509,Verspreide huizen Moddergat
BU00580600,Holwerd
BU00580601,Waaxens
BU00580602,Brantgum
BU00580603,Foudgum
BU00580604,Bornwird
BU00580605,Raard
BU00580608,Verspreide huizen Holwerd
BU00580609,Verspreide huizen Brantgum
BU00580700,Hantum
BU00580701,Hantumhuizen
BU00580702,Hantumeruitburen
BU00580703,Hiaure
BU00580708,Verspreide huizen Hantum
BU00580709,Verspreide huizen Hantumhuizen
BU00590000,Buitenpost
BU00590001,Twijzel
BU00590002,Kootstertille
BU00590003,Twijzelerheide
BU00590004,Gerkesklooster
BU00590005,Verspreide huizen Buitenpost
BU00590006,Verspreide huizen Twijzel
BU00590007,Verspreide huizen Kootstertille
BU00590008,Verspreide huizen Twijzelerheide
BU00590009,Verspreide huizen Gerkesklooster
BU00590100,Stroobos
BU00590102,Drogeham
BU00590103,Augustinusga
BU00590107,Verspreide huizen Stroobos
BU00590108,Verspreide huizen Drogeham
BU00590109,Verspreide huizen Augustinusga
BU00590200,Surhuisterveen
BU00590201,Harkema
BU00590202,Surhuizum
BU00590203,Boelenslaan
BU00590206,Verspreide huizen Surhuisterveen
BU00590207,Verspreide huizen Harkema
BU00590208,Verspreide huizen Surhuizum
BU00590209,Verspreide huizen Boelenslaan
BU00600000,Nes
BU00600001,Buren
BU00600002,Ballum
BU00600003,Hollum
BU00600007,Verspreide huizen Ballum
BU00600008,Verspreide huizen Nes
BU00600009,Verspreide huizen Hollum
BU00790000,Kollum
BU00790009,Verspreide huizen Kollum
BU00790100,Burum
BU00790101,Kollumerpomp
BU00790102,Warfstermolen
BU00790103,Munnekezijl
BU00790104,Augsbuurt
BU00790106,Verspreide huizen Burum
BU00790107,Verspreide huizen Kollumerpomp
BU00790108,Verspreide huizen Warfstermolen
BU00790109,Verspreide huizen Munnekezijl
BU00790200,Oudwoude
BU00790201,Triemen
BU00790202,Westergeest
BU00790208,Verspreide huizen Oudwoude
BU00790209,Verspreide huizen Westergeest
BU00790300,Kollumerzwaag
BU00790301,Zwagerbosch
BU00790302,Veenklooster
BU00790309,Verspreide huizen Kollumerzwaag
BU00803702,De Groene Ster
BU00880000,Schiermonnikoog
BU00880009,Verspreide huizen Schiermonnikoog
BU02790000,Scherpenzeel
BU02790008,Verspreide huizen ten zuiden van Scherpenzeel
BU02790009,Verspreide huizen ten noorden van Scherpenzeel
BU03070100,Hof
BU03070101,Nieuwstraat
BU03070102,Mooierstraat
BU03070103,Lieve Vrouwekerkhof
BU03070104,Coninckstraat
BU03070105,Beestenmarkt
BU03070106,Gote Haag
BU03070107,Stadhuisplein
BU03070108,Schimmelpenninckstraat
BU03070200,Smallepad
BU03070202,Snouckaertlaan
BU03070204,Zonnehof
BU03070205,Weltevreden
BU03070206,Bloemweg
BU03070300,Rivierenbuurt-Oost
BU03070301,Rivierenbuurt-West
BU03070302,G. van Stellingwerfstraat
BU03070303,Bloemenbuurt-Oost
BU03070304,Bloemenbuurt-West
BU03070305,Bomenbuurt
BU03070306,Puntenburg
BU03070307,Piet Mondriaanlaan
BU03070401,Eemplein
BU03070402,Geldersestraat
BU03070403,Chromiumweg
BU03070404,Uraniumweg
BU03070500,Birkhoven en Bokkeduinen
BU03070501,Vlasakkers
BU03070502,Zon en Schild
BU03070600,Jericho en Jeruzalem
BU03070601,Meridiaan
BU03070603,Gildekwartier
BU03070700,Evertsenstraat
BU03070701,Neptunusplein
BU03070702,Columbusweg
BU03070800,Vuurtoren
BU03070801,De Plaatsen
BU03070803,Koperhorst
BU03070900,Elly Takmastraat
BU03070902,Camera Obscurastraat
BU03070903,Queekhoven
BU03070905,Het Gein
BU03071000,Liendertsedreef
BU03071001,Vinkenbaan
BU03071002,De Horsten
BU03071003,Albatrosstraat
BU03071004,Zwaluwenstraat
BU03071100,Rustenburg-Noord
BU03071101,Rustenburg-Zuid
BU03071201,Bloeidaal
BU03071202,Stoutenburgerlaan
BU03071300,Romeostraat
BU03071301,Ariaweg
BU03071302,Verdiweg
BU03071400,Willem III
BU03071401,Randenbroekerweg
BU03071402,Bachweg-Zuid
BU03071403,Weberstraat
BU03071500,Bekenstein en De Luiaard
BU03071501,Rubensstraat
BU03071502,Albert Cuypstraat
BU03071503,Dorrestein
BU03071600,De Driehoek
BU03071601,Voltastraat
BU03071602,Bosweg
BU03071603,Nimmerdor
BU03071700,Westerstraat
BU03071701,Juliana van Stolberg
BU03071702,Huygenslaan
BU03071703,De Lichtenberg
BU03071704,Verhoevenstraat
BU03071705,Indische Buurt
BU03071706,Curacaolaan
BU03071707,Klein Zwitserland
BU03071800,Regentesselaan
BU03071801,Station Berkenweg
BU03071802,Thorbeckeplein
BU03071803,Mr. Th. Heemskerklaan
BU03071804,Oranjelaan
BU03071900,De Ham
BU03071901,Langenoord
BU03071902,Bieshaar-Noord
BU03071903,Bieshaar-Zuid
BU03071904,De Bik
BU03071905,De Brinken
BU03071906,De Biezen
BU03072000,Vlinderbuurt
BU03072001,Erasmusstraat
BU03072002,Muziekbuurt-Noord
BU03072003,Muziekbuurt-Zuid
BU03072004,Architectenbuurt-Oost
BU03072005,Architectenbuurt-West
BU03072006,Sportpark Zielhorst
BU03072100,Stille Steeg
BU03072101,Amaniet
BU03072102,Woudzoom
BU03072103,Gesloten Stad
BU03072104,De Verwondering
BU03072105,Emiclaer
BU03072106,Groote Kreek
BU03072107,Het Hallehuis
BU03072108,De Horizon
BU03072201,Calveen
BU03072300,Park Schothorst-Zuid
BU03072301,Park Schothorst-Noord
BU03072400,Stadskwartier
BU03072402,Hoge Hoven
BU03072403,Centrum-Wat
BU03072404,Stadstuin
BU03072405,Waterkwartier
BU03072407,Lage Hoven
BU03072500,De Hoef-West
BU03072501,De Hoef-Oost
BU03072502,De Wieken
BU03072503,Vinkenhoef
BU03072504,Nijkerkerstraat
BU03072505,Bedrijventerrein Vathorst-Zuid
BU03072506,Podium
BU03072507,Bedrijventerrein Vathorst-Noord
BU03072508,De Brand
BU03072600,Dorpskern Hooglanderveen
BU03072601,Lient
BU03072602,Hoekveen
BU03072603,Heideweg
BU03072700,Coelhorst
BU03072701,Zeldert
BU03072709,Maatweg
BU03072800,Leersumseberg
BU03072801,Emminkhuizerberg
BU03072802,Sprengenberg
BU03072803,Duisterweg
BU03072804,Cycladen
BU03072805,Reinier
BU03072806,Smink
BU03072900,Roevoeterstraat
BU03072901,Winkelcentrum
BU03072902,Damespolder
BU03073000,De Bron Noord
BU03073001,De Bron Zuid
BU03073100,De Laak Oost
BU03073101,Hoornplantsoen
BU03073102,Muidenkade
BU03073103,Hogesteeg
BU03073104,Vathorst-West
BU03073108,Vathorst-Noord
BU03080000,Centrum
BU03080001,Schoonoordpark
BU03080002,Transvaal
BU03080003,Zandvoort
BU03080004,Oude-Oosterhei
BU03080005,Nieuwe-Oosterhei
BU03080006,Pekingpark
BU03080007,Amaliapark
BU03080100,Componistenwijk
BU03080101,Professorenwijk
BU03080102,Staatsliedenwijk
BU03080103,Schilderswijk
BU03080104,Eemdal-Noord
BU03080105,Eemdal-Zuid
BU03080109,Eemland waaronder Eembrugge
BU03080200,Wilhelminapark
BU03080201,Pr. Hendrikpark
BU03080400,Verspreide huizen Baarn
BU03080401,Amerpoort Sherpa
BU03080500,Lage Vuursche
BU03080501,Verspreide huizen Lage Vuursche
BU03100001,Steinenburg
BU03100002,Weltevreden
BU03100008,De Bilt
BU03100009,Verspreide huizen Oostbroek
BU03100100,Bilthoven-Zuid
BU03100200,Bilthoven-Noord
BU03100201,De Leyen
BU03100209,Verspreide huizen
BU03100300,Hollandsche Rading
BU03100309,Verspreide huizen
BU03100400,Maartensdijk
BU03100401,Achterwetering
BU03100402,Nieuwe-Wetering
BU03100500,Groenekan
BU03100501,Blauwkapel
BU03100600,Achttienhoven-Westbroek
BU03120000,Bunnik
BU03120001,Vechten
BU03120008,Verspreide huizen in het noorden
BU03120009,Verspreide huizen in het zuiden
BU03120100,Odijk
BU03120109,Verspreide huizen van Odijk
BU03120200,Werkhoven
BU03120209,Verspreide huizen van Werkhoven
BU03130001,Bunschoten
BU03130002,Spakenburg
BU03130003,Eemdijk
BU03130004,Broerswetering
BU03130005,Bikkersvaart
BU03130006,Blokhuiswetering
BU03130007,De Haar
BU03130008,Verspreide huizen
BU03130009,Koenraadswetering
BU03130011,Rengerswetering
BU03170210,Eembrugge
BU03170211,Eemmeer-Eemnes
BU03170212,Eemnes-Dorp
BU03170213,Eempolder
BU03170214,Polder te Veen
BU03170215,Goyergracht
BU03170216,Heidehoek
BU03170217,Noordbuurt
BU03170218,Wakkerendijk-Meentweg
BU03170219,Zuidbuurt
BU03211010,Oude Dorp
BU03211011,Oorden
BU03211012,Hoven
BU03211013,Gaarden
BU03211014,Hoeven
BU03211015,Erven
BU03211016,Poorten
BU03211017,Slagen
BU03211018,Borchen
BU03211019,Campen
BU03211050,Rondweg Noord-West
BU03211120,Centrum West
BU03211121,Centrum Oost
BU03211122,Molens
BU03211123,Hagen
BU03211124,weiden
BU03211125,Gilden
BU03211126,velden
BU03211127,Sloten
BU03211128,Bermen
BU03211129,Akkers
BU03211151,Rondweg Noord-Oost
BU03211230,Bouwen
BU03211231,Houten
BU03211232,Waters
BU03211233,Polders
BU03211234,Stenen
BU03211235,muren
BU03211236,Castellum West
BU03211237,Castellum Oost
BU03211238,Schaften
BU03211252,Rondweg Zuid-West
BU03211340,Landen
BU03211341,Tuinen
BU03211342,Sporen
BU03211343,Meren
BU03211344,Mossen
BU03211345,Grassen
BU03211353,Rondweg Zuid-Oost
BU03212054,De Staart
BU03212055,Kaden
BU03212056,vesten
BU03212057,Schepen
BU03212058,Boten
BU03212059,Honen
BU03212060,Hof van Wulven
BU03212061,Bruggen
BU03212062,Bogen
BU03212063,De Poel
BU03212064,Buitengebied Houten West
BU03212065,Buitengebied Houten Oost
BU03213070,Dorp 't Goy
BU03213071,'t Goysedorp
BU03213172,Buitengebied 't Goy
BU03214080,'t Waal
BU03214081,Tull
BU03214182,Buitengebied Tull en 't Waal
BU03215090,Dorp Schalkwijk West
BU03215091,Dorp Schalkwijk Oost
BU03215192,Buitengebied Schalkwijk West
BU03215193,Buitengebied Schalkwijk Oost
BU03270000,Hamershof
BU03270001,Akkerhoeve
BU03270002,Noorwijck
BU03270003,Langenbeek
BU03270004,Zwanenburg
BU03270005,Munnikhove
BU03270006,Bosveld
BU03270007,Claverenblad
BU03270008,Wildenburg
BU03270009,Buitengebied Leusden-Centrum Oost
BU03270100,Hamersveld-Oud
BU03270101,Hamersveld-Nieuw
BU03270102,Rozenboom
BU03270103,Rozendaal
BU03270104,Alandsbeek-West
BU03270105,Alandsbeek-Oost
BU03270106,De Wetering
BU03270107,Rossenberg
BU03270108,Groenhouten
BU03270109,Buitengebied Leusden-Centrum West
BU03270200,Kern Leusden-Zuid
BU03270201,Tabaksteeg
BU03270209,Buitengebied Leusden-Zuid
BU03270300,Kern Achterveld
BU03270309,Buitengebied Achterveld
BU03270400,Stoutenburg
BU03270500,'t Ruige Veld
BU03270501,'t Vliet
BU03310000,Lopik-Dorp
BU03310001,Graaf
BU03310002,Uitweg
BU03310003,Lopikerkapel
BU03310004,Jaarsveld
BU03310005,Wielsekade
BU03310006,Cabauw
BU03310007,Zevender
BU03310008,Lekdijk tussen Jaarsveld en Schoonhoven
BU03310009,Langs de Lekdijk Lopikerwaard
BU03310010,Benschop-Dorp
BU03310019,Benschop Boveneind-Benedeneind
BU03310020,Polsbroek-Dorp
BU03310029,Polsbroek-Noordzijdseweg-Zuidzijdseweg
BU03350000,Montfoort
BU03350001,Tabakshof en Heeswijk (gedeeltelijk)
BU03350100,Linschoten
BU03350101,Polanen
BU03350102,Cattenbroek
BU03350103,Heeswijk
BU03350108,Verspreide huizen Linschoten
BU03350109,Verspreide huizen Mastwijk
BU03350200,Willeskop
BU03350201,Blokland
BU03350202,Beneden Kerkweg
BU03350209,Verspreide huizen
BU03390000,Renswoude
BU03390009,Verspreide huizen
BU03400001,Rhenen Binnenstad
BU03400101,Cunera
BU03400102,Vogelenzang
BU03400103,Grebbekwartier Zuid
BU03400104,Grebbekwartier Noord
BU03400105,Bruine Eng
BU03400201,Molenberg
BU03400202,Donderberg
BU03400203,Koerheuvel
BU03400301,Rhenen Hoog
BU03400302,Domineesberg
BU03400303,Helling Bergweg
BU03400401,Grebbeberg
BU03400501,Randzone
BU03400502,Veeneind
BU03400503,Rhenendael
BU03400504,Prattenburg
BU03400601,Binnenveld
BU03400701,Achterberg
BU03400702,De Horst
BU03400703,Achterberg West
BU03400801,Uiterwaarden Rhenen
BU03400901,Remmerden
BU03401001,Heuvelrug Rhenen
BU03401101,Heuvelrug Elst
BU03401201,Uiterwaarden Elst
BU03401301,De Vordel
BU03401302,Elst Centrum
BU03401303,Het Bosje
BU03401304,Elst West
BU03420101,Industrieterrein Soest
BU03420102,'t Hart
BU03420103,Soestdijk
BU03420201,Klaarwater
BU03420301,Pijnenburg
BU03420302,Het Soesterveen
BU03420303,De Grachten
BU03420304,Boerenstreek
BU03420401,De Eng Noord West
BU03420402,De Eng
BU03420403,Soest Midden
BU03420404,Eemgebied
BU03420405,De Eng Zuid
BU03420501,Smitsveen
BU03420601,De Zoom
BU03420602,Wieksloot
BU03420604,Hees
BU03420605,Klein Engendaal
BU03420606,Klein Engendaal Noord
BU03420701,Soest Zuid
BU03420702,De Birkt
BU03420703,Soestduinen
BU03420704,Duinen Gebied
BU03420705,Paltz
BU03420706,Vlasakkers
BU03420801,Soesterberg Noord
BU03420802,Soesterberg Oost
BU03420803,Leusderheide
BU03420804,Soesterberg Kom
BU03440111,"Welgelegen, Den Hommel"
BU03440112,Oog in Al
BU03440113,Halve Maan-Zuid
BU03440114,Halve Maan-Noord
BU03440121,Lombok-Oost
BU03440122,Leidseweg en omgeving
BU03440123,Lombok-West
BU03440124,"Laan van Nieuw-Guinea, Spinozaweg e.o."
BU03440131,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving"
BU03440132,"Schepenbuurt, Cartesiusweg e.o."
BU03440133,Bedrijventerrein Lageweide
BU03440211,Pijlsweerd-Zuid
BU03440212,Pijlsweerd-Noord
BU03440221,"Nijenoord, Hoogstraat en omgeving"
BU03440222,Ondiep
BU03440223,2e Daalsebuurt en omgeving
BU03440224,"Elegantierstraat, MariÃƒÂ«ndaalstraat en omgeving"
BU03440231,Julianapark en omgeving
BU03440232,Elinkwijk en omgeving
BU03440233,Prins Bernhardplein en omgeving
BU03440241,Geuzenwijk
BU03440242,Schaakbuurt en omgeving
BU03440243,Queeckhovenplein en omgeving
BU03440244,Zuilen-Noord
BU03440311,Taag- en Rubicondreef en omgeving
BU03440312,Wolga- en Donaudreef en omgeving
BU03440321,Zamenhofdreef en omgeving
BU03440322,Neckardreef en omgeving
BU03440331,Vechtzoom-zuid
BU03440332,"Vechtzoom-noord, Klopvaart"
BU03440333,Bedrijventerrein en omgeving
BU03440341,Zambesidreef en omgeving
BU03440342,Tigrisdreef en omgeving
BU03440343,Poldergebied Overvecht
BU03440411,Vogelenbuurt
BU03440412,Lauwerecht
BU03440413,Staatsliedenbuurt
BU03440414,Tuinwijk-West
BU03440415,Tuinwijk-Oost
BU03440421,Tuindorp en Van Lieflandlaan-West
BU03440422,Tuindorp-Oost
BU03440423,Voordorp en Voorveldsepolder
BU03440431,"Huizingalaan, K. Doormanlaan en omgeving"
BU03440432,"Zeeheldenbuurt, Hengeveldstraat en omgeving"
BU03440433,Wittevrouwen
BU03440511,Buiten Wittevrouwen
BU03440512,Oudwijk
BU03440521,Abstede
BU03440522,Tolsteegsingel
BU03440523,Rubenslaan en omgeving
BU03440524,Watervogelbuurt
BU03440525,L. Napoleonplantsoen en omgeving
BU03440526,Maarschalkerweerd en Mereveld
BU03440531,Schildersbuurt
BU03440532,Wilhelminapark en omgeving
BU03440533,De Uithof
BU03440534,Rijnsweerd
BU03440535,Galgenwaard en omgeving
BU03440611,"Domplein, Neude, Janskerkhof"
BU03440612,"Lange Elisabethstraat, Mariaplaats en omgeving"
BU03440613,Hoog-Catharijne NS en Jaarbeurs
BU03440621,Wijk C
BU03440622,Breedstraat en Plompetorengracht en omgeving
BU03440623,Nobelstraat en omgeving
BU03440624,Springweg en omgeving Geertebuurt
BU03440625,Lange Nieuwstraat en omgeving
BU03440626,Nieuwegracht-Oost
BU03440627,Bleekstraat en omgeving
BU03440628,Hooch Boulandt
BU03440711,Lunetten-Noord
BU03440712,Lunetten-Zuid
BU03440721,Tolsteeg en Rotsoord
BU03440722,Oud Hoograven-Noord
BU03440723,Oud Hoograven-Zuid
BU03440731,Bokkenbuurt
BU03440732,Nieuw Hoograven-Noord
BU03440733,Nieuw Hoograven-Zuid
BU03440811,Dichterswijk
BU03440812,Rivierenwijk
BU03440821,Bedrijvengebied Kanaleneiland
BU03440822,Transwijk-Zuid
BU03440823,Transwijk-Noord
BU03440831,Kanaleneiland-Zuid
BU03440832,Kanaleneiland-Noord
BU03440911,Bedrijventerrein De Wetering
BU03440912,Terwijde-West
BU03440913,Terwijde-Oost
BU03440921,Het Zand-West
BU03440922,Het Zand-Oost
BU03440931,Leidsche Rijn-Centrum
BU03440932,Grauwaart
BU03440933,Hoge Weide
BU03440934,Leeuwesteyn
BU03440941,Parkwijk-Noord
BU03440942,Parkwijk-Zuid
BU03440943,Langerak
BU03440951,Rijnvliet
BU03440952,Bedrijvengebied Strijkviertel
BU03440953,Bedrijvengebied Papendorp
BU03441011,Haarrijn
BU03441012,Haarzuilens en omgeving
BU03441013,Vleuten
BU03441014,MÃƒÂ¡ximapark
BU03441021,Vleuterweide-West
BU03441022,Vleuterweide-Noord/Oost/Centrum
BU03441023,Vleuterweide-Zuid
BU03441024,Veldhuizen
BU03441031,De Meern-Noord
BU03441032,De Meern-Zuid
BU03441033,Bedrijvengebied Oudenrijn
BU03441041,Rijnenburg
BU03450000,Koopcentrum
BU03450001,Vijgendam en omgeving
BU03450002,Schrijverswijk
BU03450003,Beatrixstraat en omgeving
BU03450100,Dragonder-Noord
BU03450101,Dragonder-Zuid
BU03450102,De Compagnie-Oost
BU03450103,Spitsbergen
BU03450104,Dragonder-Oost
BU03450105,Veenendaal-Oost
BU03450200,Engelenburg
BU03450201,Het Ambacht
BU03450202,Boslaan en omgeving
BU03450203,Petenbos
BU03450204,Petenbos-Oost
BU03450205,Nijverkamp
BU03450206,De Groene Velden
BU03450207,De Blauwe Hel
BU03450208,Bezuiden de Middelbuurtseweg
BU03450300,'t Goeie Spoor en omgeving
BU03450301,Franse Gat
BU03450302,Salamander
BU03450400,Molenbrug
BU03450401,'t Hoorntje
BU03450402,De Pol
BU03450403,De Gelderse blom
BU03450404,De Compagnie
BU03450405,De Batterijen
BU03450500,Oudeveen en De Schans en omgeving
BU03450501,Componistenbuurt
BU03450502,Vogelbuurt
BU03450503,Schepenbuurt
BU03450504,Dichtersbuurt
BU03450505,De Faktorij en De Vendel
BU03450506,Fort Buurtsteeg
BU03450507,Bezuiden de Dijkstraat
BU03510001,De Grift
BU03510002,Nico Bergsteijn
BU03510003,Nieuwoord
BU03510004,Laanzicht
